County,Population,NumberOfHouseholds,AverageHouseholdSize,County_1,Male,Female,Intersex,Total,SubCounty,Farming,Tea,Coffee,Avocado,Citrus,Mango,Coconut,Macadamia,Cashew Nut,Khat_Miraa
Nyeri,752695,248050,3,Nyeri,374288,384845,31,759164,Nyeri,164229,23300,57983,22810,2521,10228,NA,25436,NA,NA
Kirinyaga,605630,204188,3,Kirinyaga,302011,308369,31,610411,Kirinyaga,139866,25135,47835,19691,2429,15311,NA,28508,NA,5821
Kiambu,2402834,795241,3,Kiambu,1187146,1230454,135,2417735,Kiambu,214052,20958,31152,31392,2160,9855,NA,11748,NA,NA
Taita/Taveta,335747,96429,3.5,Taita/Taveta,173337,167327,7,340671,Taita/Taveta,56920,NA,NA,7963,3284,7171,2504,3650,543,NA
Machakos,1414022,402466,3.5,Machakos,710707,711191,34,1421932,Machakos,231341,NA,23525,45243,22797,75504,NA,6519,NA,NA
Nyandarua,636002,179686,3.5,Nyandarua,315022,323247,20,638289,Nyandarua,140854,NA,NA,2892,1580,NA,NA,NA,NA,NA
Nakuru,2142667,616046,3.5,Nakuru,1077272,1084835,95,2162202,Nakuru,283652,10041,NA,20209,4332,6560,NA,NA,NA,NA
Kajiado,1107296,316179,3.5,Kajiado,557098,560704,38,1117840,Kajiado,97565,NA,NA,2994,NA,2776,NA,NA,NA,NA
Makueni,977015,244669,4,Makueni,489691,497942,20,987653,Makueni,193531,NA,3371,34107,27006,70130,NA,4293,NA,NA
Nyamira,603051,150669,4,Nyamira,290907,314656,13,605576,Nyamira,110028,62706,25936,43349,2020,3502,NA,NA,NA,NA
Elgeyo/Marakwet,453403,99861,4.5,Elgeyo/Marakwet,227317,227151,12,454480,Elgeyo/Marakwet,74881,751,1390,5224,1632,6430,NA,518,NA,NA
Busia,886856,198152,4.5,Busia,426252,467401,28,893681,Busia,148257,NA,1498,27498,3616,35530,NA,1148,NA,NA
Kwale,858748,173176,5,Kwale,425121,441681,18,866820,Kwale,108074,NA,NA,1063,10053,30272,31954,881,22803,NA
Nairobi City,4337080,1506888,2.9,Nairobi City,2192452,2204376,245,4397073,Nairobi City,32258,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laikipia,513879,149271,3.4,Laikipia,259440,259102,18,518560,Laikipia,90729,NA,NA,5273,2121,2103,NA,773,NA,NA
Kenya,47213282,12143913,3.9,Kenya,23548056,24014716,1524,47564296,Kenya,6354211,476613,478936,966976,177445,796867,90952,195999,61664,134148
Siaya,989708,250698,3.9,Siaya,471669,521496,18,993183,Siaya,194362,NA,NA,31729,7350,44660,NA,1262,NA,NA
Kitui,1130134,262942,4.3,Kitui,549003,587151,33,1136187,Kitui,215322,NA,NA,12066,7510,35471,NA,NA,NA,NA
Kakamega,1861332,433207,4.3,Kakamega,897133,970406,40,1867579,Kakamega,335269,4644,2990,63886,4435,49075,NA,2292,NA,NA
Homa Bay,1125823,262036,4.3,Homa Bay,539560,592367,23,1131950,Homa Bay,193812,1365,2864,29880,7496,34557,NA,1554,NA,NA
Kilifi,1440958,298472,4.8,Kilifi,704089,749673,25,1453787,Kilifi,161188,NA,NA,NA,6808,37519,47561,NA,27940,NA
Narok,1149379,241125,4.8,Narok,579042,578805,26,1157873,Narok,181706,NA,NA,13430,1784,2332,NA,NA,NA,NA
West Pokot,618867,116182,5.3,West Pokot,307013,314213,15,621241,West Pokot,89828,NA,1026,7535,1173,4426,NA,NA,NA,NA
Marsabit,447150,77495,5.8,Marsabit,243548,216219,18,459785,Marsabit,39167,NA,NA,NA,NA,NA,NA,NA,NA,NA
Embu,604769,182743,3.3,Embu,304208,304367,24,608599,Embu,130990,18664,28996,19355,3581,26771,NA,27488,NA,34900
Murang'a,1053059,318105,3.3,Murang'a,523940,532669,31,1056640,Murang'a,231400,43819,64533,52839,7210,38361,NA,35618,NA,NA
Uasin Gishu,1152671,304943,3.8,Uasin Gishu,580269,582889,28,1163186,Uasin Gishu,141547,NA,NA,8430,1376,2505,NA,NA,NA,NA
Kisumu,1144777,300745,3.8,Kisumu,560942,594609,23,1155574,Kisumu,147117,NA,NA,19478,5265,28305,NA,NA,NA,NA
Vihiga,587189,143365,4.1,Vihiga,283678,306323,12,590013,Vihiga,113753,11273,1717,34321,1233,26209,NA,NA,NA,NA
Kisii,1260509,308054,4.1,Kisii,605784,661038,38,1266860,Kisii,219853,67394,53580,88326,3850,17144,NA,NA,NA,NA
Tana River,314710,68242,4.6,Tana River,158550,157391,2,315943,Tana River,35094,NA,NA,NA,1109,6561,2228,NA,1691,NA
Isiolo,267997,58072,4.6,Isiolo,139510,128483,9,268002,Isiolo,24271,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bungoma,1663898,358796,4.6,Bungoma,812146,858389,35,1670570,Bungoma,280445,2047,37773,73765,5268,54581,NA,2428,NA,NA
Migori,1108950,240168,4.6,Migori,536187,580214,35,1116436,Migori,169958,NA,3864,33338,4444,27231,NA,1196,NA,NA
Turkana,922210,164519,5.6,Turkana,478087,448868,21,926976,Turkana,61209,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wajir,775302,127932,6.1,Wajir,415374,365840,49,781263,Wajir,63433,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamu,141909,37963,3.7,Lamu,76103,67813,4,143920,Lamu,18678,NA,NA,NA,2742,7423,5017,189,8085,NA
Trans Nzoia,985333,223808,4.4,Trans Nzoia,489107,501206,28,990341,Trans Nzoia,140249,2780,4089,26594,1987,6721,NA,NA,NA,NA
Nandi,883634,199426,4.4,Nandi,441259,444430,22,885711,Nandi,148887,37564,11044,29356,1202,5806,NA,NA,NA,NA
Kericho,896863,206036,4.4,Kericho,450741,451008,28,901777,Kericho,150845,55837,24774,40748,2283,5588,NA,NA,NA,NA
Garissa,835482,141394,5.9,Garissa,458975,382344,34,841353,Garissa,47645,NA,NA,NA,NA,1726,NA,NA,NA,NA
Mandera,862079,125763,6.9,Mandera,434976,432444,37,867457,Mandera,62639,NA,NA,NA,NA,2685,NA,NA,NA,NA
Mombasa,1190987,378422,3.1,Mombasa,610257,598046,30,1208333,Mombasa,12497,NA,NA,NA,NA,NA,1688,NA,602,NA
Meru,1535635,426360,3.6,Meru,767698,777975,41,1545714,Meru,274865,30404,28195,41746,6255,27457,NA,29545,NA,85023
Tharaka-Nithi,391303,109860,3.6,Tharaka-Nithi,193764,199406,7,393177,Tharaka-Nithi,85767,7227,15792,13171,1630,14102,NA,9280,NA,8404
Samburu,307957,65910,4.7,Samburu,156774,153546,7,310327,Samburu,43149,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baringo,662760,142518,4.7,Baringo,336322,330428,13,666763,Baringo,100465,NA,3069,12372,2605,10600,NA,1673,NA,NA
Bomet,873023,187641,4.7,Bomet,434287,441379,23,875689,Bomet,152564,50704,1940,44903,3298,3679,NA,NA,NA,NA
